"country","area","debtgdp","defence","energy","euapproval","gasdep","gdppc","govtapproval","ideology","militaryconfidence","nato","threat","in_all"
"austria",1,1,1,1,1,1,1,1,1,1,1,1,1
"belgium",1,1,1,1,1,1,1,1,1,1,1,1,1
"bulgaria",1,1,1,1,1,0,1,1,1,1,1,1,0
"croatia",1,1,1,1,1,0,1,1,1,1,1,1,0
"cyprus",1,1,1,1,1,0,1,1,1,1,1,1,0
"czechia",1,1,1,1,0,0,1,0,0,0,1,1,0
"denmark",1,1,1,1,1,1,1,1,1,1,1,1,1
"estonia",1,1,1,1,1,1,1,1,1,1,1,1,1
"finland",1,1,1,1,1,1,1,1,1,1,1,1,1
"france",1,1,1,1,1,1,1,1,1,1,1,1,1
"germany",1,1,1,1,1,1,1,1,1,1,1,0,0
"greece",1,1,1,1,1,1,1,1,1,1,1,1,1
"hungary",1,1,1,1,1,1,1,1,1,1,1,1,1
"ireland",1,1,1,1,1,1,1,1,1,1,1,1,1
"italy",1,1,1,1,1,1,1,1,1,1,1,0,0
"latvia",1,1,1,1,1,1,1,1,1,1,1,1,1
"lithuania",1,1,1,1,1,1,1,1,1,1,1,1,1
"luxembourg",1,1,1,1,1,1,1,1,1,1,1,1,1
"malta",1,1,1,1,1,0,1,1,1,1,1,1,0
"netherlands",1,1,1,1,0,1,1,0,1,0,1,1,0
"poland",1,1,1,1,1,1,1,1,1,1,1,1,1
"portugal",1,1,1,1,1,1,1,1,1,1,1,1,1
"romania",1,1,1,1,1,0,1,1,1,1,1,0,0
"slovakia",0,1,1,1,1,0,0,1,1,1,1,1,0
"slovenia",1,1,1,1,1,1,1,1,1,1,1,1,1
"spain",1,1,1,1,1,1,1,1,1,1,1,1,1
"sweden",1,1,1,1,1,1,1,1,1,1,1,1,1
