country,approve_2025,approve_2024,approve_2023,approve_2022,approve_2021,approve_2020,approve_2019,approve_2018,approve_2017,approve_2016,approve_2015,approve_2014,approve_2013,approve_2012,approve_2011,approve_2010,approve_2009,approve_2008,approve_2006,disapprove_2025,disapprove_2024,disapprove_2023,disapprove_2022,disapprove_2021,disapprove_2020,disapprove_2019,disapprove_2018,disapprove_2017,disapprove_2016,disapprove_2015,disapprove_2014,disapprove_2013,disapprove_2012,disapprove_2011,disapprove_2010,disapprove_2009,disapprove_2008,disapprove_2006,dk_rf_2025,dk_rf_2024,dk_rf_2023,dk_rf_2022,dk_rf_2021,dk_rf_2020,dk_rf_2019,dk_rf_2018,dk_rf_2017,dk_rf_2016,dk_rf_2015,dk_rf_2014,dk_rf_2013,dk_rf_2012,dk_rf_2011,dk_rf_2010,dk_rf_2009,dk_rf_2008,dk_rf_2006
austria,0.622945167,0.63775677,0.635414109,0.611922827,0.642028415,0.665676759,0.645395104,0.606363612,0.509233372,0.474977696,0.524866261,0.507102048,0.473762747,0.390682154,0.372275399,0.416426259,0.418708657,0.356194191,0.44920818,0.371885865,0.334969255,0.330050955,0.34017746,0.319871829,0.293801258,0.288791123,0.345009332,0.452202911,0.469286257,0.443619832,0.422828294,0.439614609,0.422852909,0.463451341,0.382363038,0.33720511,0.38352231,0.283075762,0.005168967,0.027273975,0.034534936,0.047899713,0.038099756,0.040521984,0.065813773,0.048627056,0.038563717,0.055736047,0.031513907,0.070069658,0.086622644,0.186464937,0.16427326,0.201210703,0.244086233,0.260283499,0.267716058
belgium,0.622506506,0.635443853,0.651112936,0.650407744,0.576307483,0.385277893,0.447365731,0.514979261,0.59750795,0.568863577,0.593974979,0.642372225,0.557682594,0.303216791,0.446005253,0.224988465,,0.549925244,,0.354645008,0.330324274,0.301773487,0.237250017,0.336166497,0.509765811,0.45301693,0.385911075,0.37211496,0.414073602,0.346032191,0.299322894,0.277631243,0.168407095,0.223254381,0.253669344,,0.187608564,,0.022848486,0.034231874,0.047113577,0.11234224,0.08752602,0.104956296,0.099617339,0.099109664,0.030377091,0.017062821,0.05999283,0.058304882,0.164686163,0.528376113,0.330740366,0.52134219,,0.262466192,
bulgaria,0.438865844,0.4673531,0.42359269,0.494390275,0.636622122,0.575235037,0.487473685,0.484284389,0.501129475,0.45821065,0.598784197,0.505191705,0.453524266,0.450553226,0.494583401,0.492977771,0.598777413,,0.567531009,0.416988151,0.37087035,0.356730766,0.361072255,0.292161021,0.332368546,0.319120657,0.347820988,0.369952088,0.377525138,0.253775843,0.245903446,0.213219623,0.174163212,0.164037534,0.168742919,0.101048464,,0.081011471,0.144146005,0.16177655,0.219676544,0.14453747,0.071216858,0.092396418,0.193405657,0.167894623,0.128918437,0.164264212,0.14743996,0.248904849,0.333256111,0.375283562,0.341379065,0.338279311,0.300174123,,0.35145752
croatia,0.563874468,0.626577779,0.630057545,0.554248605,0.475087362,0.498323053,0.481228357,0.554043057,0.535139697,0.496195287,0.512116341,0.508231003,0.360607318,0.239792307,,,,,0.464248747,0.329431098,0.284514737,0.224393467,0.287908009,0.309349664,0.256936387,0.37002344,0.3201772,0.2471414,0.281192707,0.244673498,0.308831713,0.233985525,0.253950751,,,,,0.21352332,0.106694434,0.088907484,0.145548988,0.157843386,0.215562974,0.24474056,0.148748203,0.125779743,0.217718903,0.222612006,0.243210161,0.182937285,0.405407156,0.506256942,,,,,0.322227932
cyprus,0.437514558,0.370780786,0.535502747,0.403389265,0.526801623,0.458768346,0.350698355,0.44615226,0.377960535,0.303313013,0.23776136,0.281341726,0.205235953,0.342745784,0.412907974,0.388031577,0.500787503,,0.603469197,0.490279217,0.46184151,0.359842848,0.449432714,0.319769889,0.360382416,0.16876479,0.366130742,0.408763862,0.452653331,0.565509119,0.466381385,0.648061459,0.382289932,0.233090883,0.255081311,0.206393287,,0.160873983,0.072206225,0.167377704,0.104654405,0.14717802,0.153428487,0.180849237,0.480536855,0.187716998,0.213275603,0.244033656,0.196729521,0.252276889,0.146702588,0.274964284,0.354001143,0.356887111,0.29281921,,0.235656819
denmark,0.745942468,0.677256393,0.754469139,0.700438777,0.669217643,0.632392516,0.702509805,0.674706906,0.61792625,0.582309704,0.589879934,0.519387387,0.503241107,0.444656753,0.490522113,0.545225688,0.613298437,0.596216851,,0.21359354,0.232214503,0.20094375,0.248268639,0.220880727,0.283007542,0.254526868,0.286592064,0.319971738,0.371656131,0.286779107,0.337490988,0.325449973,0.330128026,0.324518775,0.25125636,0.229418516,0.244334171,,0.040463993,0.090529105,0.044587111,0.051292584,0.10990163,0.084599941,0.042963327,0.03870103,0.062102012,0.046034165,0.123340959,0.143121625,0.17130892,0.225215221,0.184959112,0.203517952,0.157283046,0.159448977,
estonia,0.511774521,0.531072823,0.653969458,0.534236756,0.560971232,0.534651043,0.438934672,0.370180291,0.414513455,0.296832908,0.397611575,0.467155475,0.456485915,0.375574262,0.463183687,,,0.495733935,,0.382475838,0.32082168,0.237928277,0.275721391,0.24911499,0.254934287,0.261174964,0.294250279,0.320851856,0.499978125,0.429940532,0.324808751,0.345864506,0.309941097,0.295466018,,,0.19141964,,0.105749641,0.148105497,0.108102265,0.190041853,0.189913778,0.210414671,0.299890364,0.33556943,0.264634689,0.203188967,0.172447893,0.208035774,0.19764958,0.314484641,0.241350295,,,0.312846425,
finland,0.742050074,0.772091377,0.772959693,0.83365487,0.738558371,0.73431684,0.76081491,0.722112171,0.72178249,0.578283967,0.600493556,0.579153495,0.440949623,0.482259685,0.527442459,0.502847289,,0.583419821,0.530100838,0.214827432,0.169417802,0.190771521,0.135988742,0.221652619,0.230940525,0.182903836,0.233840275,0.235881101,0.345020688,0.329858112,0.34859657,0.47291354,0.39664848,0.359819116,0.385551975,,0.251986584,0.290430836,0.043122494,0.05849082,0.036268786,0.030356388,0.039789009,0.034742635,0.056281254,0.044047554,0.042336409,0.076695345,0.069648332,0.072249935,0.086136838,0.121091836,0.112738425,0.111600735,,0.164593595,0.179468326
france,0.474606156,0.532087838,0.540239487,0.538929685,0.481408657,0.488851436,0.466669578,0.411873057,0.393893918,0.391943806,0.475879593,0.42315732,0.376633792,0.404154952,0.501337072,0.450818672,0.426513139,0.434109493,,0.49731561,0.432037465,0.410573933,0.388546992,0.451591526,0.462707186,0.465256231,0.53271125,0.557867907,0.553978143,0.442393493,0.431075257,0.36082039,0.344357753,0.326178999,0.375052281,0.237026581,0.285789497,,0.028078234,0.035874697,0.04918658,0.072523323,0.066999817,0.048441378,0.068074191,0.055415693,0.048238174,0.054078051,0.081726913,0.145767423,0.262545818,0.251487295,0.172483929,0.174129047,0.336460281,0.280101009,
germany,0.698544131,0.707845843,0.674690709,0.724248992,0.607970818,0.671903273,0.660268617,0.620784957,0.614123816,0.566164516,0.630148167,0.692605162,0.586554356,0.585024708,0.484519483,0.536175739,0.603204989,0.559927195,,0.290707795,0.267934086,0.310472829,0.213480481,0.375384117,0.281096988,0.267567093,0.319647752,0.321747424,0.377311864,0.325412432,0.250262507,0.327629775,0.257146418,0.355456533,0.376487229,0.270170513,0.279016521,,0.010748074,0.024220071,0.014836462,0.062270527,0.016645065,0.046999739,0.072164291,0.059567291,0.06412876,0.056523621,0.044439401,0.057132331,0.085815869,0.157828874,0.160023985,0.087337032,0.126624498,0.161056284,
