country,country_code,indicator_name,indicator_code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
austria,aut,land area (sq. km),ag.lnd.totl.k2,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520
belgium,bel,land area (sq. km),ag.lnd.totl.k2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30333,30493,30494,30494,30494,30494,30494
bulgaria,bgr,land area (sq. km),ag.lnd.totl.k2,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,108800,108770,108760,108640,108630,108610,108610,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560
cyprus,cyp,land area (sq. km),ag.lnd.totl.k2,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
czechia,cze,land area (sq. km),ag.lnd.totl.k2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77260,77260,77250,77250,77240,77240,77230,77230,77230,77220,77220,77210,77210,77210,77210,77205,77198,77186,77171,77167
germany,deu,land area (sq. km),ag.lnd.totl.k2,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349120,349110,349100,349090,349050,349020,348980,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348880,348900,348860,349360,349370,349380,349390,349390,349390,349360,349430
denmark,dnk,land area (sq. km),ag.lnd.totl.k2,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
spain,esp,land area (sq. km),ag.lnd.totl.k2,499470,499460,499460,499430,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,499661,499564,499547,499603,499570,499556,499733,499713,499697
estonia,est,land area (sq. km),ag.lnd.totl.k2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470,43470,42750,42750,42750,42750,42750,42730,42730
finland,fin,land area (sq. km),ag.lnd.totl.k2,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910,303910,303920,303920,303930,303940,303947,303947,303960
