country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
austria,35.591785,37.474346,39.710841,43.651391,46.006996,47.767071,51.950128,55.490768,57.680598,56.641837,56.239482,56.443053,56.336007,60.962443,64.071427,68.238169,68.180321,63.373173,69.196552,61.339556,66.108882,67.238356,67.44032,66.411818,65.912064,69.427592,68.176417,65.813112,69.52806,80.752328,83.65397,83.356075,82.935499,82.430835,85.20981,85.614769,83.419065,79.057183,74.586245,71.005856,83.183042,82.394523,78.343932,78.404244,81.205646
belgium,76.796468,89.685638,99.633508,110.28688,114.61184,119.38722,124.66971,129.22713,129.68559,126.40723,130.30699,131.79659,134.68337,138.92523,137.08275,131.28605,129.00396,124.2712,119.1859,115.36185,109.58904,108.21685,105.43668,101.65931,97.169665,95.14187,91.494413,87.324624,93.159779,99.853049,100.24502,102.73534,104.33474,105.02132,106.52412,105.52513,105.40368,102.3996,99.977366,97.461028,111.09844,108.37017,102.55508,103.12131,104.46778
bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.226652,67.454552,75.344999,70.717102,64.505119,51.00545,43.378565,35.728001,26.581739,20.872088,16.315904,13.017411,13.663296,15.296391,15.151927,16.579418,16.995402,27.00609,25.921783,29.102531,25.108936,22.139583,20.080731,24.440489,23.838633,22.484552,22.886156,24.078302
croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.32914,30.007212,35.433531,36.589012,36.452753,37.845063,39.95689,40.900522,38.372452,37.078143,38.914925,47.913524,56.800773,63.132247,68.853367,79.479874,83.223614,82.768207,79.256449,76.171385,72.846966,70.883708,86.468699,78.200936,68.543709,61.836026,57.647263
cyprus,27.850003,30.743621,33.162136,41.720267,42.958446,44.005942,47.08563,47.966966,48.758972,47.476218,47.151864,52.935957,52.136783,54.532967,49.867506,45.820391,47.092049,50.962785,54.657631,54.843973,57.606418,59.08434,62.567989,64.465879,66.108325,65.425302,60.728125,54.78317,46.290821,56.842156,59.313194,69.129474,83.610325,107.5015,112.71486,111.59663,106.92185,96.478998,100.71855,92.29267,113.60195,96.480154,80.953563,73.646458,65.324128
czechia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.476376,11.506143,12.123598,13.876998,15.087848,16.894528,22.596885,25.703152,28.061586,28.288733,27.677815,27.564803,27.34598,28.154947,33.430499,36.70009,39.401957,43.835303,44.141092,41.54618,39.469493,36.232214,33.781826,31.677756,29.551736,36.882939,40.692005,42.520375,42.449171,42.98805
denmark,45.750444,55.938722,67.916415,79.066284,80.337738,77.814061,75.30272,71.877688,70.145489,68.313378,69.404483,70.245584,66.748112,78.673354,75.30654,71.453829,68.31606,64.388165,60.318608,56.788828,53.552572,50.096446,50.319806,48.162303,46.215143,39.359931,33.191019,29.482647,35.53918,43.048747,46.123275,49.986205,48.71121,47.769891,48.712443,44.550356,41.691946,40.152558,38.538748,38.334642,46.278416,40.487225,34.076839,33.588568,27.993064
estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6590098,7.2978961,6.0334512,5.3982726,5.9327435,5.1137137,4.9325993,5.6601652,5.5986701,5.1586871,4.733175,4.7166197,3.9080219,4.6729872,7.9759194,7.9902264,7.5965275,11.146951,11.43492,11.563137,10.789643,10.239326,9.4344783,8.5069187,9.047115,19.095612,18.418603,19.112143,20.183682,23.61853
finland,10.893435,11.543959,13.851155,15.379206,15.179735,15.837202,16.442756,17.649202,16.535042,14.269444,13.854756,21.890134,39.285757,54.19552,56.193595,55.204461,55.363464,52.235383,46.843421,44.020711,42.447172,40.896738,40.128672,42.697444,42.576902,39.869797,38.005102,33.906356,32.562689,41.534102,50.112886,52.024432,57.856152,60.811707,64.812611,68.764273,68.649202,66.580777,65.278321,65.241487,75.414761,73.247211,74.033739,77.301908,82.530305
france,21.298485,22.63993,26.201027,27.733164,30.190666,31.851217,32.395672,34.755291,34.667055,35.525607,36.791325,37.772083,41.705228,48.157848,51.580402,57.805004,60.593469,61.983253,62.099697,61.423125,59.721388,59.322254,61.256043,65.36386,66.879403,68.186037,65.400811,65.476775,69.819176,84.055614,86.27793,88.749329,91.741949,94.555055,96.163266,96.970022,98.153121,98.761564,98.528337,98.161875,114.90004,112.78574,111.3631,109.77403,113.10798
