Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,5108,4126,2234,1688,1275,1092,1075,882,824,953,1080,1114,1233,1244,1266,1183,1210,1198,1401,1369,1092,1030,856,858,925,865,877,939,974,1202,2761,1382,1470,1615,1989,2265
croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2278,2893,3251,3458,3241,3270,2521,1966,1393,1290,1396,1130,1026,1071,1082,1114,1279,1165,1080,1118,1022,976,1096,1091,1037,1102,1076,1168,1140,1486,1421,1439,1565
czechia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3642,3762,3608,3580,3385,3674,3984,4113,3957,4224,4587,4404,4815,4448,4293,3660,3768,3418,3078,2959,2822,2808,2919,3164,3160,3726,4106,4503,4902,4668,5056,6676
estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,90,114,113,110,147,156,194,229,267,319,368,389,372,408,553,541,469,449,477,558,576,617,671,722,743,781,834,928,891,917,1235,1392
hungary,3587,3703,3659,3739,3545,5529,3586,3638,4205,3332,2883,2165,2092,1801,1784,1343,1263,1554,1388,1587,1751,1924,2101,2267,2099,2078,1862,1897,1763,1571,1409,1429,1360,1286,1267,1425,1628,2055,1861,2626,3403,2776,4020,4355,4718
latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,133,129,100,97,105,136,170,214,349,403,435,507,637,694,680,432,327,338,311,334,346,395,570,647,883,883,928,961,958,1253,1404
lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,116,121,135,222,387,296,386,453,452,442,510,556,615,671,692,522,435,420,421,436,524,698,936,1137,1369,1460,1521,1559,1944,2162,2602
poland,7362,7442,8205,7299,8244,8888,9224,8965,9269,7531,7823,5508,5337,5849,5839,5876,6183,6776,7037,6928,6734,6945,7064,7351,7699,8224,8743,9876,8983,9475,9928,10067,10155,10072,11206,13336,12597,12882,14591,14837,16980,17836,18057,26342,34488
romania,5030,5078,4574,4703,4796,10831,11491,9412,10254,10920,4809,4988,3902,2355,2809,2739,2662,2984,2711,2446,2328,2442,2429,2505,2694,2849,2937,2817,3104,2639,2431,2515,2446,2633,2877,3319,3502,4751,5285,5785,6188,6053,5871,5628,8065
slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258,1299,2300,2286,1839,1438,1256,1306,1471,1493,1584,1471,1595,1617,1636,1677,1602,1402,1203,1204,1090,1125,1335,1369,1393,1596,2279,2494,2351,2368,2441,2768
slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,476,462,527,541,519,518,487,443,545,604,629,667,680,779,784,830,836,833,672,578,513,491,487,548,561,586,658,641,814,855,912,931
austria,3624,3512,3663,3720,3754,4107,4241,4077,3855,3815,3857,3875,3762,3798,3815,3782,3746,3755,3765,3842,3934,3666,3602,3751,3757,3677,3531,4200,4070,3800,3779,3693,3644,3502,3531,3376,3634,3815,3839,3925,4377,4486,4001,4452,5096
