country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
austria,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.983960897,0.911232125,0.888297334,0.915451921,0.897058497,0.855937302,0.791400409,0.906103988,0.876420518,0.838531947,0.826388367,0.795931959,0.783538526,0.757180193,0.754649576,0.70257692,0.733722912,0.761540652,0.748993468,0.753133438,0.885811629,0.873515488,0.766706008,0.870829952,0.999843177,
belgium,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.544640554,1.519316842,1.45786619,1.417395812,1.39393069,1.350865368,1.283523288,1.223761317,1.221194011,1.15659439,1.096641182,1.056123069,1.098018764,1.221914517,1.163530034,1.090181102,1.044501135,1.037029667,1.004520087,0.96627233,0.911829965,0.898085291,0.886837201,0.892442477,0.887004951,1.005927967,1.042639942,1.162465513,1.184228752,1.277053127,
bulgaria,,,,,,,,,,,,,,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,1.638345757,1.737429583,2.1594803,2.131516213,2.619501164,2.652455762,2.862519544,2.779676555,2.691201472,2.373711682,2.235350267,2.081761908,2.228539901,2.131863983,1.739511501,1.642461524,1.314000256,1.329818965,1.454042831,1.309602232,1.245933607,1.243845808,1.222208548,1.451062124,3.144950729,1.585618271,1.51072371,1.587075004,1.944583107,2.149473282,
croatia,,,,,,,,,,,,,,,,,7.607386443,10.72675715,11.14817729,9.101527697,8.075131549,7.478051896,5.545558052,4.383067283,3.024582357,2.705751355,2.708808293,2.026147353,1.740387895,1.744037291,1.666410166,1.610778665,1.823154445,1.772178582,1.666186162,1.736602376,1.655937751,1.607808754,1.808117159,1.748702504,1.589225385,1.633166294,1.542340556,1.603610742,1.69659502,1.971501132,1.8028526519999999,1.706631588,1.793234245,
cyprus,,,,,,,,,,1.270291696,1.577157899,5.391477698,5.700256029,5.369355098,7.374035613,7.264776122,9.129286044,4.074952605,4.023989196,3.041034215,4.524714829,5.57391077,4.676317946,2.73385097,2.822090151,3.153222159,2.130160735,1.985163124,1.955769162,2.037469743,1.899997863,1.684599658,1.629704944,1.816819508,1.852924551,1.737832091,1.654751702,1.60700909,1.54260196,1.647667627,1.404557612,1.568102939,1.74983319,1.769593537,1.895534378,1.784067442,1.721188476,1.650606833,1.64735215,
czechia,,,,,,,,,,,,,,,,,,2.330404066,2.283400858,1.758855331,1.657586077,1.580303497,1.735597662,1.838687411,1.861470184,1.735528293,1.809011465,1.877522107,1.699643465,1.77725785,1.568114684,1.424788332,1.234088178,1.313492189,1.182897788,1.069142968,1.055607707,1.008704463,0.959115722,0.941202925,0.9866344,0.943984412,1.075526688,1.133239676,1.295406325,1.353253257,1.326902105,1.47176821,1.916808492,
denmark,2.204203185,2.216303129,2.271821195,2.251527372,2.363092523,2.438666392,2.419895025,2.364742876,2.235470726,2.104672107,1.944819237,2.031647483,2.087470632,2.024220137,1.950757035,1.919758739,1.855151021,1.874085191,1.742600262,1.686759574,1.646143545,1.618724308,1.609071181,1.565536516,1.458465617,1.531542621,1.50685882,1.464667329,1.420240154,1.308111468,1.375055747,1.304022802,1.348826812,1.344412255,1.3971018100000001,1.312339289,1.353293141,1.223524904,1.149797804,1.114813026,1.151071466,1.139985411,1.283104893,1.299206606,1.373768853,1.291557636,1.361564574,1.999613329,2.416174542,
estonia,,,,,,,,,,,,,,,,,,0.761751961,1.041630274,0.930586008,0.866311409,1.028864534,1.056773411,1.280402946,1.376132321,1.500976994,1.656260544,1.735509174,1.687182212,1.449771851,1.387333801,1.657236466,1.767106363,1.798972417,1.700349152,1.672454886,1.879848975,1.883815913,1.895354778,1.989445018,2.028035634,1.969886705,1.970613117,1.998450187,2.261364283,2.012319334,2.13485211,2.995722975,3.374002218,
finland,1.340124617,1.405352011,1.429444105,1.47900931,1.67093548,1.545586731,1.64375015,1.823263814,1.604041801,1.676579073,1.723909953,1.64553301,1.607691173,1.534314492,1.563351499,1.781231036,1.907131012,1.868011507,1.755603595,1.422541499,1.530472271,1.535155051,1.463175558,1.223103772,1.240009972,1.143119913,1.153462679,1.445474435,1.467718556,1.464704511,1.442702257,1.287609985,1.39102533,1.560845412,1.491726445,1.491993625,1.531605266,1.540071844,1.45927959,1.458190607,1.431505166,1.36088934,1.37168237,1.361322835,1.435781155,1.30243926,1.588545189,2.007536953,2.299791737,
france,3.156139584,3.23156861,3.151487314,3.139395443,3.155205085,3.24613261,3.223839134,3.237131775,3.187369251,3.143932802,3.085765016,3.120451605,3.000340589,2.917834659,2.844639595,2.849219253,2.727568166,2.721684414,2.690732383,2.515422263,2.437663264,2.393956968,2.246808939,2.198153299,2.09218901,2.041484153,2.05857264,2.106470957,2.114166339,2.028137017,1.977377448,1.910957778,1.899345047,2.098777915,1.96864375,1.88794615,1.871544095,1.847116484,1.859529066,1.869732682,1.851718096,1.852308819,1.846042571,1.852885207,2.021674553,1.980222258,1.957720675,1.950996838,2.052576879,
