country,product,flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72,...73,...74,...75,...76,...77,...78,...79,...80,...81,...82,...83,...84,...85,...86,...87,...88,...89,...90,...91,...92,...93
austria,Natural gas,Imports (PJ),51,59,56,73,65,97,89,101,107,111,144,109,89,146,151,146,140,134,143,188,184,184,194,179,229,237,217,224,219,223,226,235,293,306,299,280,247,279,268,256,335,268,221,266,210,260,294,272,395,225,165,430,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgium,Natural gas,Imports (PJ),197,245,298,349,342,364,359,356,392,372,341,288,300,306,308,278,312,299,342,344,363,383,396,409,436,497,472,520,564,556,550,572,596,610,620,629,624,649,753,818,747,639,643,565,640,623,611,680,806,750,737,847,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,Natural gas,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,34,50,23,25,26,20,15,42,93,87,97,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estonia,Natural gas,Imports (PJ),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51,51,30,15,21,24,27,26,25,24,28,30,25,28,32,33,34,34,32,22,24,21,23,23,18,16,18,17,18,17,15,18,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finland,Natural gas,Imports (PJ),0,0,0,16,26,31,31,34,34,32,25,24,23,27,34,41,55,59,78,91,97,100,104,115,119,124,122,140,140,144,156,155,171,166,151,163,156,162,146,161,141,126,120,105,94,86,80,91,90,89,89,48,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
france,Natural gas,Imports (PJ),167,232,320,382,398,493,528,580,622,683,734,685,794,767,867,912,963,914,957,1033,1096,1153,1081,1125,1177,1269,1277,1291,1485,1526,1497,1570,1609,1672,1743,1681,1587,1679,1705,1763,1843,1773,1780,1583,1570,1647,1727,1750,1983,1688,1691,2072,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
germany,Natural gas,Imports (PJ),202,319,519,801,967,1027,1124,1222,1428,1562,1462,1363,1367,1390,1478,1524,1663,1619,1766,1787,1857,1904,2039,2138,2316,2628,2561,2484,2579,2558,2656,2757,2946,3173,3303,3265,3039,3185,3076,3299,3146,3102,3431,3154,3597,3417,4008,2953,3168,2783,2930,2960,2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,Natural gas,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,51,71,70,73,84,91,98,114,140,147,124,135,166,154,135,103,112,145,177,174,187,209,227,205,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hungary,Natural gas,Imports (PJ),7,7,7,7,27,40,40,41,90,134,135,134,142,131,137,162,165,181,203,217,208,172,200,189,232,304,274,296,306,308,326,364,416,388,411,394,359,390,331,331,276,282,283,311,238,265,344,270,408,277,262,328,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ireland,Natural gas,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,58,79,104,122,126,131,124,126,151,164,174,168,188,166,161,155,150,152,71,59,73,101,122,130,138,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
