country,country code,indicator name,indicator code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
austria,aut,gdp per capita (current us$),ny.gdp.pcap.cd,10826,9348,9373,9500,8955,9136,13031,16328,17509,17400,21596,22323,24782,23987,25546,30207,29645,26571,27212,27078,24487,24430,26334,32110,36614,38157,40382,46622,51581,47857,46611,51116,48250,50305,51314,43915,45061,47163,51194,49885,48716,53648,52336,56579,58268
belgium,bel,gdp per capita (current us$),ny.gdp.pcap.cd,12864,10622,9343,8846,8457,8750,12170,15135,16391,16525,20600,21041,23372,22283,24208,28413,27489,24820,25338,25252,23098,23015,25006,30655,35429,36809,38705,44319,48303,44923,44197,47760,44874,46964,47995,40893,41854,44035,47487,46716,45906,51658,50605,55291,56614
bulgaria,bgr,gdp per capita (current us$),ny.gdp.pcap.cd,2238,2234,2169,1852,1963,1914,2260,3132,2511,2477,2366,883,1007,1278,1149,2259,1470,1361,1820,1660,1621,1770,2092,2719,3389,3899,4523,5888,7271,6988,6853,7849,7431,7795,8069,7268,7822,8696,9849,10353,10760,12966,13999,15853,17596
cyprus,cyp,gdp per capita (current us$),ny.gdp.pcap.cd,4232,4033,4122,4091,4258,4488,5642,6690,7645,8038,9641,9696,11310,10526,11617,15261,15139,14234,15092,15287,14388,14821,16093,20252,23792,24959,26729,31244,35397,32236,31105,32485,28991,27764,26993,23088,24280,26247,29120,29227,28130,32937,33231,36623,38674
czechia,cze,gdp per capita (current us$),ny.gdp.pcap.cd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3969,2917,3396,3984,4663,5865,6573,6069,6526,6377,6062,6669,8101,9852,11782,13442,15259,18452,22774,19817,20160,22049,20014,20260,20038,17931,18753,20913,23705,24062,23472,27696,28282,31761,31823
germany,deu,gdp per capita (current us$),ny.gdp.pcap.cd,12182,10246,9950,9900,9347,9464,13511,16738,17996,17829,22385,23443,26559,25616,27201,31747,30599,27046,27395,26965,23925,23878,25486,30711,34566,35084,36980,42350,46379,42471,42396,47630,44718,47206,48959,41929,42948,45553,48916,47656,47394,52349,50506,54776,56103
denmark,dnk,gdp per capita (current us$),ny.gdp.pcap.cd,13822,12000,11740,11796,11516,12212,17136,21295,22524,21882,26885,27002,29579,27581,29967,35321,35621,32779,33346,33426,30722,30768,33257,40519,46625,48925,52119,58631,64616,58412,58104,61809,58443,61377,62520,53094,54500,57521,61324,59404,60985,69340,67781,68043,71026
spain,esp,gdp per capita (current us$),ny.gdp.pcap.cd,6204,5367,5156,4475,4486,4696,6508,8233,9696,10674,13795,14801,16100,13330,13405,15460,16100,14722,15382,15707,14743,15368,17111,21522,24925,26450,28421,32652,35603,32279,30658,31824,28456,29228,29707,25982,26755,28381,30602,29786,27233,30799,30319,33493,35326
estonia,est,gdp per capita (current us$),ny.gdp.pcap.cd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2685,2819,3134,3380,3682,4093,4140,4070,4502,5343,7205,8916,10414,12641,16745,18205,14712,14663,17555,17568,19310,20581,17722,18666,20851,23618,24021,23933,27951,28340,30264,31428
finland,fin,gdp per capita (current us$),ny.gdp.pcap.cd,11224,10925,10935,10493,10830,11394,14946,18565,22043,23969,28366,25488,22320,17588,20278,26246,25756,24682,25999,26180,24335,24965,26989,32920,37768,39049,41214,48473,53769,47478,46506,51060,47551,49691,50073,42560,43451,46085,49654,48358,48828,53099,50440,52834,53149
france,fra,gdp per capita (current us$),ny.gdp.pcap.cd,12565,10955,10359,9862,9311,9657,13430,16175,17549,17547,21586,21500,23615,22238,23359,26791,26757,24169,24869,24576,22340,22331,24144,29479,33644,34696,36431,41486,45464,41728,40694,43929,40863,42669,43148,36702,37024,38687,41418,40408,39169,43725,40988,44700,46103
