country,yes_2025,yes_2024,yes_2023,yes_2022,yes_2021,yes_2020,yes_2019,yes_2018,yes_2017,yes_2016,yes_2015,yes_2014,yes_2013,yes_2012,yes_2011,yes_2010,yes_2009,yes_2008,yes_2006,yes_2007,no_2025,no_2024,no_2023,no_2022,no_2021,no_2020,no_2019,no_2018,no_2017,no_2016,no_2015,no_2014,no_2013,no_2012,no_2011,no_2010,no_2009,no_2008,no_2006,no_2007,dk_rf_2025,dk_rf_2024,dk_rf_2023,dk_rf_2022,dk_rf_2021,dk_rf_2020,dk_rf_2019,dk_rf_2018,dk_rf_2017,dk_rf_2016,dk_rf_2015,dk_rf_2014,dk_rf_2013,dk_rf_2012,dk_rf_2011,dk_rf_2010,dk_rf_2009,dk_rf_2008,dk_rf_2006,dk_rf_2007
austria,0.476145365,0.445465706,0.474604808,0.461640692,0.610458963,0.626177827,0.51233826,0.488678725,0.435907941,0.432638218,0.454789863,0.407695404,0.417099239,0.376573862,0.406920116,0.491841078,0.48105214,0.257242193,0.497037786,,0.522166917,0.554534294,0.518666087,0.532990212,0.376178935,0.358750834,0.469965251,0.47631975,0.539500601,0.5501145,0.528563367,0.559188921,0.536378607,0.542714738,0.526238661,0.444889966,0.401835606,0.665217448,0.412150597,,0.001687718,,0.006729106,0.005369096,0.013362101,0.01507134,0.017696489,0.035001526,0.024591458,0.017247282,0.016646769,0.033115675,0.046522155,0.080711399,0.066841223,0.063268957,0.117112254,0.077540359,0.090811617,
belgium,0.472211726,0.54904555,0.464722973,0.572408419,0.473133105,0.294799601,0.327901154,0.441944531,0.449731911,0.419177506,0.459024212,0.469111609,0.554124505,0.440117182,0.289129468,0.336516479,,0.463137075,0.551704996,0.602238275,0.515088812,0.437143839,0.509657909,0.374749647,0.509054572,0.676858503,0.605134979,0.513709707,0.535221211,0.57038421,0.527210627,0.507707309,0.367718322,0.404913574,0.553712219,0.545857916,,0.404127385,0.370288652,0.269404496,0.012699462,0.013810611,0.025619118,0.052841934,0.017812323,0.028341896,0.066963866,0.044345762,0.015046878,0.010438285,0.01376516,0.023181081,0.078157173,0.154969243,0.157158314,0.117625605,,0.13273554,0.078006352,0.128357229
bulgaria,0.19532701,0.086969111,0.120007651,0.192192728,0.224526198,0.273983638,0.268381834,0.218995903,0.326087941,0.221241778,0.249677309,0.140402731,0.170892309,0.3429228,0.265244757,0.365285957,,,0.275431653,,0.721506198,0.853292094,0.777561469,0.695865813,0.73403502,0.69035372,0.608715326,0.683829176,0.568019217,0.671863735,0.648300449,0.775284301,0.664318562,0.545236745,0.598414748,0.485620343,,,0.599805486,,0.083166792,0.059738795,0.10243088,0.111941459,0.041438782,0.035662642,0.12290284,0.097174921,0.105892842,0.106894487,0.102022242,0.084312968,0.164789129,0.111840455,0.136340495,0.1490937,,,0.12476286,
croatia,0.55933033,0.515648448,0.413596084,0.305695715,0.251287947,0.208485763,0.286501428,0.248180918,0.211000666,0.303390988,0.364868417,0.15500845,0.257140567,0.31111859,,,,,0.385139732,,0.385636609,0.433119875,0.502964334,0.641937304,0.687240117,0.713914294,0.646683177,0.660592828,0.740910152,0.604088797,0.592691084,0.790987595,0.618002964,0.532289056,,,,,0.517213928,,0.05503306,0.051231678,0.083439582,0.052366982,0.061471936,0.077599943,0.066815396,0.091226254,0.048089182,0.092520215,0.042440499,0.054003955,0.124856469,0.156592355,,,,,0.09764634,
cyprus,0.381975602,0.210596437,0.332670084,0.269497654,0.32194001,0.414389893,0.327287784,0.352440439,0.312653435,0.333909506,0.203454713,0.244740317,0.274080222,0.336412403,0.399997515,0.45245991,0.563541168,,0.664813398,,0.597692317,0.733730838,0.60056512,0.69553498,0.637028587,0.50906031,0.592466672,0.58699321,0.585149883,0.601782284,0.758578689,0.680429144,0.64797453,0.619209512,0.513843581,0.475797934,0.38263021,,0.256751649,,0.02033208,0.055672725,0.066764795,0.034967366,0.041031404,0.076549798,0.080245544,0.060566351,0.102196682,0.06430821,0.037966598,0.074830539,0.077945248,0.044378085,0.086158903,0.071742156,0.053828622,,0.078434953,
denmark,0.580711896,0.528484479,0.558463997,0.635359926,0.651709716,0.715797589,0.632999032,0.632478459,0.572353316,0.467660708,0.579888642,0.457836907,0.391405107,0.53425279,0.471823329,0.586689437,0.626578141,0.665933895,0.668683317,0.592505954,0.415493345,0.457671599,0.439672626,0.358788865,0.332350316,0.280335032,0.352508777,0.366646203,0.417938355,0.527750072,0.393381834,0.517662712,0.558542662,0.430665391,0.49777049,0.387385383,0.348521498,0.29475484,0.285660507,0.365823106,0.003794759,0.013843922,0.001863377,0.005851209,0.015939967,0.003867379,0.014492192,0.000875338,0.009708329,0.00458922,0.026729524,0.024500382,0.050052231,0.035081819,0.030406181,0.025925179,0.024900361,0.039311265,0.045656177,0.04167094
estonia,0.309363968,0.428572333,0.4887109,0.508495859,0.519263992,0.464805977,0.403306537,0.420202571,0.405946253,0.339834292,0.33668979,0.414985885,0.26063757,0.272975943,0.41754021,,0.224486132,0.330979003,0.442467691,0.420264115,0.650229404,0.529105967,0.468455606,0.408622442,0.363083603,0.415299898,0.437832482,0.40674418,0.453828678,0.569210403,0.585275473,0.480647864,0.636293394,0.614064085,0.511378218,,0.643991382,0.546133607,0.400139086,0.443557351,0.040406628,0.0423217,0.042833494,0.082881698,0.117652405,0.119894125,0.158860981,0.173053249,0.140225069,0.090955305,0.078034737,0.10436625,0.103069036,0.112959972,0.071081572,,0.131522486,0.122887389,0.157393223,0.136178534
finland,0.675785754,0.67614952,0.726085186,0.775449915,0.71373125,0.80863288,0.639188147,0.555102213,0.597538583,0.485727259,0.557600285,0.468558862,0.420593741,0.597941599,0.565402383,0.461843622,,0.723243453,0.757926286,,0.311286808,0.305395991,0.261971819,0.216001195,0.262979589,0.180294934,0.326604919,0.432871215,0.390859121,0.481525659,0.394580664,0.505425012,0.54329675,0.366851301,0.3966834,0.509987018,,0.240816573,0.181551484,,0.012927438,0.018454489,0.011942996,0.00854889,0.023289161,0.011072186,0.034206934,0.012026573,0.011602296,0.032747082,0.047819051,0.026016126,0.036109509,0.0352071,0.037914217,0.028169359,,0.035939975,0.06052223,
france,0.294355041,0.419651348,0.406006203,0.457356694,0.4335205,0.410406651,0.381849236,0.380547431,0.374793527,0.283978158,0.328252698,0.263801722,0.395130527,0.440625333,0.375089251,0.401466227,0.474448885,0.452659394,0.324883525,0.361352911,0.700022829,0.578412025,0.579386211,0.517542751,0.543969096,0.571832912,0.595730716,0.589119091,0.594443978,0.704089616,0.660131521,0.682027027,0.538499621,0.488739048,0.558568297,0.557070571,0.45034337,0.487895655,0.579877051,0.570194193,0.005622131,0.001936626,0.014607585,0.025100556,0.022510404,0.017760437,0.022420048,0.030333478,0.030762495,0.011932226,0.011615781,0.054171251,0.066369852,0.070635618,0.066342452,0.041463201,0.075207745,0.059444951,0.095239424,0.068452895
germany,0.500310244,0.504982251,0.536381662,0.607603778,0.604759932,0.654063104,0.568460427,0.592990587,0.622935652,0.552613566,0.628003647,0.601368861,0.557760681,0.516928197,0.424583131,0.395424009,0.533415268,0.431707621,0.321758803,0.34976546,0.494028354,0.481251657,0.443332925,0.335034927,0.380827417,0.335428278,0.410215242,0.388428957,0.346198028,0.430174545,0.345350784,0.377425199,0.419169004,0.44476893,0.524156915,0.587426994,0.409133461,0.508419601,0.655166773,0.572575991,0.005661402,0.013766092,0.020285413,0.057361295,0.01441265,0.010508617,0.02132433,0.018580456,0.03086632,0.017211889,0.026645569,0.021205939,0.023070315,0.038302873,0.051259954,0.017148997,0.057451271,0.059872778,0.023074424,0.077658549
