country,yes_2025,yes_2024,yes_2023,yes_2022,yes_2021,yes_2020,yes_2019,yes_2018,yes_2017,yes_2016,yes_2015,yes_2014,yes_2013,yes_2012,yes_2011,yes_2010,yes_2009,yes_2008,yes_2006,yes_2007,no_2025,no_2024,no_2023,no_2022,no_2021,no_2020,no_2019,no_2018,no_2017,no_2016,no_2015,no_2014,no_2013,no_2012,no_2011,no_2010,no_2009,no_2008,no_2006,no_2007,dk_rf_2025,dk_rf_2024,dk_rf_2023,dk_rf_2022,dk_rf_2021,dk_rf_2020,dk_rf_2019,dk_rf_2018,dk_rf_2017,dk_rf_2016,dk_rf_2015,dk_rf_2014,dk_rf_2013,dk_rf_2012,dk_rf_2011,dk_rf_2010,dk_rf_2009,dk_rf_2008,dk_rf_2006,dk_rf_2007
austria,0.718922436,0.719796527,0.744317715,0.773033596,0.791890749,0.753909078,0.752574873,0.73095512,0.686868285,0.665052049,0.632134174,0.664199225,0.76340741,0.638517191,0.615765434,0.656150354,0.729028567,0.632071412,0.640030811,,0.273004823,0.278610427,0.233636224,0.195371321,0.184489595,0.214076151,0.205754744,0.244080465,0.293066063,0.31499905,0.34591203,0.300561314,0.204157077,0.272318337,0.314086299,0.265895427,0.195744605,0.277410498,0.223044926,,0.00807274,0.001593046,0.02204606,0.031595083,0.023619655,0.032014771,0.041670384,0.024964415,0.020065652,0.019948901,0.021953795,0.035239462,0.032435513,0.089164472,0.070148267,0.077954218,0.075226828,0.09051809,0.136924263,
belgium,0.724219099,0.737208558,0.743161759,0.611375847,0.758924015,0.832935674,0.779500178,0.789110829,0.812915396,0.84014088,0.784562736,0.726964597,0.669212131,0.555989383,0.57325916,0.577007457,,0.535487277,0.714741807,0.596580488,0.25199766,0.235590417,0.217526565,0.259834662,0.171591067,0.121952605,0.161519142,0.142164138,0.175696002,0.151605343,0.192466823,0.241898764,0.205422598,0.185639971,0.221890584,0.226512538,,0.225990176,0.167304414,0.186923823,0.023783241,0.027201025,0.039311675,0.128789492,0.069484918,0.045111722,0.05898068,0.068725033,0.011388602,0.008253777,0.022970441,0.031136639,0.125365271,0.258370646,0.204850257,0.196480004,,0.238522547,0.11795378,0.216495689
bulgaria,0.407209069,0.403830688,0.319694125,0.382875722,0.492168377,0.483011802,0.481815939,0.521398976,0.545544856,0.464184858,0.462981251,0.442665787,0.416988468,0.458964035,0.464633036,0.45581613,,,0.520450349,,0.403934855,0.416315362,0.479955789,0.428334355,0.423693769,0.422031964,0.307605384,0.223820818,0.295203048,0.350411576,0.306864105,0.33784782,0.326624137,0.321175539,0.323722629,0.307518581,,,0.274507435,,0.188856076,0.17985395,0.200350086,0.188789923,0.084137854,0.094956234,0.210578677,0.254780207,0.159252097,0.185403566,0.230154644,0.219486393,0.256387394,0.219860426,0.211644335,0.236665289,,,0.205042215,
croatia,0.699860898,0.695694857,0.636425491,0.681360625,0.85157045,0.837618904,0.776470138,0.802643879,0.8000016,0.825923674,0.76610841,0.686321829,0.695019979,0.683760722,,,,,0.782051405,,0.240083744,0.229230219,0.302559114,0.228290228,0.095511569,0.090211954,0.125624558,0.090450993,0.145715176,0.120827159,0.18180362,0.262522607,0.175648786,0.167745031,,,,,0.155192409,,0.060055358,0.075074925,0.061015395,0.090349148,0.052917982,0.072169141,0.097905303,0.106905128,0.054283223,0.053249166,0.052087969,0.051155564,0.129331235,0.148494247,,,,,0.062756186,
cyprus,0.569033632,0.430573011,0.558008283,0.493969897,0.547661584,0.580586299,0.49581161,0.48364973,0.448794937,0.440370782,0.438101292,0.415109966,0.436807353,0.495792572,0.528139967,0.490387085,0.493232124,,0.729487471,,0.395345121,0.504906213,0.369479669,0.429084936,0.387748498,0.33353568,0.417224277,0.435353958,0.436301277,0.439425302,0.489960231,0.522571167,0.504765225,0.436868459,0.394108631,0.442340566,0.446217249,,0.203988808,,0.035621247,0.064520775,0.072512047,0.076945167,0.064589918,0.085878021,0.086964113,0.080996311,0.114903786,0.120203915,0.071938477,0.062318867,0.058427422,0.067338969,0.077751403,0.067272348,0.060550627,,0.066523721,
denmark,0.778982763,0.739037995,0.815450025,0.86923099,0.843853169,0.865183117,0.867099247,0.890293973,0.876479375,0.838682048,0.830856557,0.846799973,0.795980797,0.775650064,0.786962094,0.830711142,0.821916129,0.813544249,0.804310002,0.769223618,0.211173959,0.229731692,0.177166579,0.11665846,0.12260176,0.12450991,0.114658605,0.104007151,0.111063118,0.15716011,0.14180666,0.107953876,0.144865663,0.16961497,0.158866156,0.14788564,0.143701139,0.111805784,0.139138299,0.166932394,0.009843278,0.031230314,0.007383395,0.01411055,0.033545071,0.010306973,0.018242148,0.005698875,0.012457507,0.004157842,0.027336783,0.045246152,0.05915354,0.054734966,0.05417175,0.021403218,0.034382732,0.074649966,0.0565517,0.063843988
estonia,0.753211708,0.803193816,0.846790714,0.783263487,0.770197061,0.758026814,0.761267164,0.725341459,0.774330327,0.739397204,0.766166066,0.769085636,0.749462513,0.700047985,0.68517042,,0.692605827,0.679113403,0.657824383,0.631804872,0.20911466,0.145975177,0.104348776,0.108109348,0.122344848,0.116573508,0.092613777,0.119548226,0.117372639,0.18321236,0.173196895,0.148300211,0.138450345,0.182714585,0.228508799,,0.184490594,0.206016126,0.140497046,0.190880753,0.037673632,0.050831007,0.04886051,0.108627165,0.107458091,0.125399677,0.146119059,0.155110315,0.108297034,0.077390436,0.060637039,0.082614152,0.112087143,0.11723743,0.08632078,,0.12290358,0.114870471,0.201678571,0.177314375
finland,0.961770419,0.956337305,0.967885275,0.946030233,0.939029381,0.942278762,0.950230619,0.937506943,0.939784239,0.918224075,0.918494164,0.865351135,0.846324518,0.867358193,0.925548158,0.902176542,,0.879441973,0.916122149,,0.034719809,0.033995464,0.028421886,0.045218167,0.055649009,0.047481947,0.036053197,0.057170173,0.055597919,0.071076568,0.073202155,0.120461936,0.139569497,0.115391498,0.065675715,0.089366683,,0.083946142,0.053837482,,0.003509772,0.00966723,0.003692839,0.0087516,0.005321609,0.010239291,0.013716184,0.005322884,0.004617842,0.010699358,0.008303681,0.014186929,0.014105984,0.01725031,0.008776128,0.008456775,,0.036611885,0.030040369,
france,0.827790929,0.863934004,0.863106687,0.870327248,0.828704671,0.828101338,0.86662344,0.845052061,0.871583484,0.834364862,0.818387402,0.799806713,0.808722988,0.770669377,0.810234043,0.796313307,0.775858244,0.81074545,0.747196633,0.761734764,0.160580793,0.128938052,0.129286184,0.112128972,0.161335584,0.160525362,0.126166868,0.143094642,0.11224368,0.147281463,0.160437029,0.162700066,0.130755726,0.151456058,0.142257691,0.13943449,0.11301183,0.126728244,0.171616661,0.138197472,0.011628278,0.007127944,0.007607128,0.01754378,0.009959744,0.011373299,0.007209692,0.011853297,0.016172836,0.018353676,0.021175569,0.03749322,0.060521286,0.077874565,0.047508266,0.064252203,0.111129926,0.062526306,0.081186706,0.100067764
germany,0.618690185,0.603233714,0.594862193,0.61475282,0.613840384,0.604679792,0.601502454,0.654541306,0.659266083,0.647266727,0.664441736,0.60196189,0.713827497,0.691449455,0.676159219,0.638056063,0.66593182,0.68159862,0.717812711,0.656058236,0.368932259,0.378372947,0.379064684,0.277247475,0.365402252,0.359986178,0.357036838,0.31868389,0.308583918,0.327006345,0.295384721,0.360038046,0.230062601,0.225864848,0.240966328,0.301934552,0.230093188,0.224427091,0.228543262,0.220484868,0.012377556,0.018393339,0.026073123,0.107999705,0.020757364,0.03533403,0.041460708,0.026774804,0.032149999,0.025726927,0.040173543,0.038000064,0.056109902,0.082685697,0.082874453,0.060009384,0.103974992,0.093974289,0.053644027,0.123456897
greece,0.71392996,0.69938336,0.741222307,0.830999229,0.799967879,0.79853832,0.823776459,0.83664147,0.789977168,0.767839762,0.787869325,0.749764006,0.719437192,0.717070956,0.714064386,0.705821157,0.781494084,,0.737235024,0.710456282,0.267087644,0.289879318,0.24559939,0.137129728,0.192775925,0.18643419,0.128104022,0.120800072,0.16545174,0.17021396,0.170783434,0.179586566,0.218388135,0.233492109,0.23541532,0.209006288,0.175364141,,0.17403397,0.251405939,0.018982397,0.010737322,0.013178302,0.031871043,0.007256196,0.01502749,0.04811952,0.042558457,0.044571092,0.061946278,0.041347242,0.070649428,0.062174673,0.049436935,0.050520294,0.085172556,0.043141775,,0.088731006,0.038137779
hungary,0.502259253,0.498955823,0.479454899,0.524795659,0.623993633,0.565798165,0.616864896,0.523243001,0.537716763,0.486900299,0.456064595,0.511551763,0.451633157,0.36047421,0.426760122,0.396123904,,0.499356695,0.460541673,0.539940556,0.436313161,0.438559108,0.425323972,0.38882713,0.282669404,0.278496731,0.244351572,0.303543188,0.349694895,0.377771537,0.337048465,0.326507923,0.338251874,0.426783975,0.429462066,0.416888983,,0.356501386,0.389336089,0.338122488,0.061427586,0.06248507,0.095221128,0.086377211,0.093336963,0.155705103,0.138783533,0.173213811,0.112588342,0.135328165,0.20688694,0.161940315,0.210114969,0.212741815,0.143777812,0.186987113,,0.144141919,0.150122238,0.121936957
ireland,0.685244016,0.678002325,0.704567086,0.752682563,0.798183848,0.754568223,0.736901961,0.76883995,0.78542277,0.789089215,0.760673114,0.757269794,0.739148889,0.754815949,0.729901385,0.751901203,0.739705068,0.770478111,0.706471123,,0.295814983,0.288183323,0.282589154,0.224363006,0.183724894,0.203573437,0.220158644,0.176021141,0.189663552,0.175287124,0.198934347,0.19181073,0.182777607,0.185812348,0.182868461,0.197241947,0.209056117,0.18288781,0.151724397,,0.018941001,0.033814352,0.01284376,0.022954431,0.018091258,0.04185834,0.042939396,0.055138909,0.024913678,0.035623661,0.040392539,0.050919476,0.078073504,0.059371703,0.087230154,0.05085685,0.051238815,0.046634079,0.14180448,
