country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2020,2021,2022,2023,2024,2025,2026
austria,-262451115,-442444864,-219014523,-48942873,-85451968,-376472035,53250583,-190312044,-291545241,-51920747,-322551495,-678592506,-1364877687,-1393818661,-2696607722,-3838811622,-3507379317,-5313062802,-7497819889,-5821384751,-3838732168,-4406761194,-6589431013,-6029496316,-6260485284,-7003233261,-7288202463,-7069918515,-8187146262,-11200992430,-13042320835,-13621436429,-13108697863,-12165659239,0
belgium,4162818880,5945707413,6623486097,5299568792,3699140116,4602054061,6409051760,5740868221,5521118878,5496201909,3176599592,4029287702,3394547718,3507690569,5077255264,4428234914,5588826676,6940299721,10009176919,11666088283,7849131003,9906101967,12559160455,12070475458,12829866272,13774261630,14686969164,15087508802,6549677038,12240385056,9203248613,15664878636,6413568083,9147513813,0
bulgaria,121972570,36975561,85743314,6418471,-43410758,-101954851,-51277614,11184497,-67469409,-103964805,-97089271,-122526682,-226075261,-238848256,-285564209,-335539542,-185832065,-165700258,-119956123,118632578,-3357429,-88778758,-157147080,-260884947,-206406092,-249330242,-308187198,-334648500,-472036231,-813071065,-978333667,-1057673427,-1006723221,-347422858,0
croatia,NA,NA,NA,47970732,-3293172,32008267,46631016,34569276,55954807,24250396,-2489137,-50956403,-29563725,-67035260,16006924,-160658034,-205336480,-206159359,-85515775,196682846,-48241426,-24078997,73424167,-133997503,-116245590,-123942199,-244784841,-219305163,-284779195,-86893301,605182447,100555527,-2974353,-132807894,0
cyprus,93527090,111092361,105966139,154775089,122192701,190888227,244800634,239463152,227402611,130833282,158286076,168438625,232869526,167698938,302092078,70498053,52984927,188761613,152286931,203579894,107721404,123267342,76922351,137509071,99706857,87397366,69848515,129167271,43582494,184499956,47606898,135766160,126106205,124149142,0
czechia (czech republic),NA,NA,NA,NA,-10777632,-18463075,-943649,-71372612,-18231329,-103521851,-144502601,-337090590,-413386448,-577737286,-722033597,-938896088,-1158378397,-1228700425,-1168409079,-1189865956,-951289938,-1039223265,-1659442345,-2098347690,-1979563678,-2102556727,-2512096708,-2434709221,-2560146331,-2692193852,-3716633387,-2871124899,-3793328262,-3727531303,0
denmark,-485055757,-366949864,-94033102,-191497925,-571727062,-906854067,-428003006,-407683093,-381133739,-507388050,-1106020582,-1461624945,-1789549941,-1739947996,-2169979588,-1731190365,-3229251439,-3271878516,-3139004665,-3682494421,-3503318319,-3879458097,-4512205641,-4552663089,-4263293102,-5173799573,-5557278395,-5704423199,-8684442731,-8569596623,-8370434180,-6392528082,-4246144506,-7590743103,0
estonia,NA,NA,NA,46167407,34122857,4082517,76634989,23101637,-29203851,-38124811,-75187817,-483571809,-183234822,-82036934,-61032661,-260776213,-365903192,-304820193,-53726313,-166544613,20980513,-509630515,-652651879,-270554944,-129392745,-256407938,-214948274,-744561039,-727096342,-1464231800,-967373751,-404996442,-691317353,-623815300,0
finland,-396978093,-141111156,-138240907,-398851169,-761634815,-733637909,-1021053919,92934728,-656528573,-679708410,-1241547761,-1679084970,-1840535051,-1907481184,-1884223350,-1825074466,-2088028066,-2323307012,-2137859341,-2144622657,-2318706542,-1704135010,-1276914929,-2543452332,-2304138500,-2884948906,-2950588889,-3075069088,-3330839399,-5036839124,-6057637574,-4417181649,-5577099243,-5223078625,0
france,-1443585727,528125798,1993294835,-235599951,-1977168347,-3152341099,-2936565588,-4202060010,-4743341041,-6349300144,-7071194618,-9529632160,-10399843974,-9389139478,-12153020735,-10574212680,-11445236460,-12931410203,-14181875784,-14810189201,-7511868502,-11385541182,-12192234600,-10833244633,-13962597829,-15815889522,-17782469946,-15560276785,-15658171944,-20238317882,-10933177423,-13245651078,-16235603205,-18120880425,0
germany,-7950827507,-9418547414,-4913433270,-7593018546,-9648211676,-12512264312,-14470238013,-15468820039,-18602251905,-23182059793,-28304652086,-29492655038,-29037375380,-35852008145,-39199040047,-45854803118,-50663329075,-47753358280,-44712466258,-42820589764,-27954463303,-34295148642,-49390148480,-60422803955,-66978434378,-74763142824,-74908970882,-64523752846,-56895193667,-69289925135,-73736087842,-82506750205,-84655956213,-73046606717,0
greece,230322524,257720049,602824184,526757032,535995175,375332035,1120566731,324103487,500623823,887959111,423223821,625930381,790319716,606684744,575091028,1339985392,306205079,589028624,918034748,932896359,1635137581,308578845,265525752,-182797496,-215199618,-276710115,-630923706,-481180956,101773231,-120101491,106753524,-275935110,262598001,278460629,0
hungary,-207082114,-191968601,-110482969,-53970789,33372607,-160931155,-251601268,-346010045,-592383875,-1084985788,-1388623713,-2146272844,-2278026215,-1950852237,-1765428931,-1431575958,-1540245602,-1392851378,-1512172272,-1698088075,-992725440,-1200792890,-1469338653,-1635128945,-2040914683,-3487537911,-4004156402,-3490650254,-3166103562,-4141381097,-4825477495,-7700704481,-9431724446,-8391048982,0
ireland,923051054,793720392,727289244,589376901,211267231,525153296,13065230,-1138644179,-1232475689,-2731931810,-4627673712,-8683246414,-11389906610,-15638894907,-18142257115,-19275827617,-19285674477,-20124662029,-21335742208,-22914911486,-20549543600,-26572186514,-31712889852,-25979641474,-24864222918,-26179868540,-30420765143,-35960598636,-55384562596,-60142997133,-66690713242,-65594228569,-86521420616,-114201268759,0
italy,-4713560047,-4733506593,-3209093818,-3602163204,-6764432796,-7518076531,-7635409258,-9437431668,-10387461062,-11985790975,-12344008834,-14049988263,-13907747164,-14201286907,-14866651843,-17377872294,-19495934005,-20085545304,-20900564137,-20664797011,-14183569377,-14293749156,-17936251321,-20867641113,-21951703300,-25408934044,-28008065631,-28548543850,-29498823242,-39300314361,-41412363382,-43886629707,-43987020067,-30753694722,0
latvia,NA,NA,NA,44738913,66925991,50612498,3100650,66069181,70341996,72011946,-11382663,-152587851,-33757260,-106219352,-253389721,-243754296,-185399351,-53342044,47067142,165840639,146006782,151893706,223391387,268546391,221896087,152489536,-35921815,-64862307,-213658940,-272797956,-330058166,378381218,-85142526,-65643513,0
lithuania,NA,NA,NA,39352903,40701394,25607240,25475096,28830898,7563487,-18946582,-30777963,-75704438,-64853623,-196503232,-184709733,-187177994,-245163139,-3631031,264611711,81675815,-182134556,-9172368,97506313,-419220911,-700117023,-414326235,-531659601,-720093894,-308691923,-805659366,27356914,1020825827,-52796098,733799096,0
luxembourg,-75966075,-75797600,28804020,45271429,307856711,-59256771,140901660,38485579,473091017,232185856,669813457,65153781,244616499,181430678,14141486,414021386,393676544,45643664,475913162,528750337,849549985,988979757,1090732154,1349919089,1207651124,759052982,754780502,947271736,858556586,937373032,913576841,1582066976,411023502,491380511,0
malta,-12154398,4970048,-8700249,-32810494,67967552,-8008137,-25766978,-83447487,-103861098,-72180705,-132928123,-149516522,-109947453,-99635916,-171226337,-200698092,-89177818,-208085907,-121527242,-25209806,-25669600,195561428,508366552,135978774,351500435,743360251,249485387,-1001450701,-33434229,-119110957,9067403,231989448,140747357,445789282,0
netherlands,6596699064,8044015641,8701382957,8452735716,7388077671,7575606850,10180396646,9997315144,12543164105,11412791888,10939415721,12270026312,10024408377,8470626172,9731033288,11681654074,11634288233,13754485327,14565513191,19083266983,16244222061,15684844420,18772196511,18358689119,23342595767,22242154068,23367660126,23535375878,17443281884,17976121197,38343755151,43133782716,54167460863,60698170213,0
poland,26910393,-2235233,101344968,262238355,462475015,-25850205,112604715,340909133,473034543,98989756,11678660,-282524767,-165080601,-413800204,-567164157,-900822579,-679697023,-294160683,897693824,1545024599,265452831,19184949,-1235408450,-1275084470,-1107068116,-1553594754,-1895836869,-2305710764,-3553939300,-3888439299,-387111466,-2131450522,-1541776051,175261852,0
portugal,126493104,89660329,94878798,360125923,-55181626,156268822,-156843363,-55989029,-182505653,-378107965,-265564959,-622841744,-297274252,-810213310,-1104458633,-1196932760,-1199335224,-1570471888,-591886115,195016069,-483667349,-1083650793,-1266521370,-1512455144,-1986756495,-2105738366,-2328239440,-2236967138,-2112530876,-2571817189,-3239502027,-4114382073,-3826571874,-3676957571,0
romania,-198811705,137959138,139535269,161007507,254406714,142178843,33771886,16316445,-145564048,-53765018,-257734388,-237404826,-145173898,-446716576,-363270139,-350746781,-575831717,-568765373,-373729067,-58460928,-71935870,-278005555,-516509177,-787619790,-969640365,-1156329474,-1395969313,-1266830952,-1202814759,-1497647173,-2423578284,-2680862881,-2649379653,-2484058723,0
