Series Name,Series Code,Country Name,Country Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Afghanistan,AFG,2.046086957,2.011474793,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.431253787,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006745856,1.170968382,1.358856927,1.827933856,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Albania,ALB,..,..,..,..,6.052021633,5.848317053,5.651595745,5.44128199,6.117504543,5.651426199,5.626186504,5.862228923,5.617316628,5.167612724,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.109151006,1.160544785,1.280805962,1.295835703,1.242988084,1.208788616,1.740733464,2.037862289,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Algeria,DZA,2.701721228,2.241950459,2.375228938,2.138695866,2.102063296,1.818048875,2.063097441,1.951213252,1.755124007,1.643706897,1.787213666,1.856376277,1.749698749,1.540123779,1.461070586,1.210834059,2.14013213,2.505631577,3.146430012,2.935027107,3.094088396,3.637403468,3.965673788,3.755079983,3.433393961,3.520462847,3.414719731,3.002624509,3.048757012,2.732286067,2.513706914,2.769328503,2.867405788,3.512960383,3.189981547,3.962882747,4.105898258,4.423824539,4.964878298,5.55074216,5.652718354,5.307114923,4.929927003,5.326958538,5.886148221,4.890032706,4.057488115,7.390393274,7.971457236,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,0.00001715,0.0000173,22.25,21.9805,19.43233333,17.46366667,7.1025,5.682830543,17.52258908,5.709280691,4.707392768,2.447848157,5.972268207,2.642011881,17.33469221,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120381,4.709610048,4.177584522,3.255660351,3.236659499,4.455239422,4.698454516,3.105426293,2.733334945,2.507982806,1.95578681,1.767914305,1.810429168,1.393222664,1.410163657,1.407255421,1.000492133,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Argentina,ARG,3.781291173,4.008600096,4.719144058,4.673356256,3.098958333,3.465346535,2.704557935,2.738812785,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880365592,1.450909212,1.506926555,1.421222233,1.422802901,1.457038533,1.473073107,1.241227264,1.140139111,1.136318022,1.220359548,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878118,0.764287095,0.784824735,0.837736427,0.878100924,0.850128597,0.809245363,0.847754811,0.732300348,0.699696134,0.734111594,0.631788619,0.684586409,0.75569414,0.618350391,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.203389831,2.296644333,..,4.059311908,3.281867004,3.90939856,3.528096003,3.697374231,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.583766919,3.997244557,3.943378265,4.239225786,4.090349217,3.849730577,4.119886153,4.787705841,4.982543724,4.465144759,4.081745959,5.506298149,5.481749203,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Australia,AUS,2.216612107,2.247202208,2.21568857,2.192729371,2.248956904,2.296601945,2.393265216,2.519811819,2.505233651,2.523268379,2.540429752,2.372988832,2.160751838,2.048530134,2.076337465,2.16398943,2.167712625,2.175446074,2.113774651,2.019634878,1.929725729,1.864859586,1.868887175,1.887361643,1.824405679,1.86297633,1.86803152,1.84253578,1.822080571,1.796287738,1.817730903,1.811275962,1.79619705,1.92365517,1.852598696,1.755266139,1.670281652,1.638196512,1.77241725,1.952326285,2.089621478,2.005095176,1.895620077,1.880002406,2.007386221,1.978476916,1.88329709,1.861571335,1.883788333,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Austria,AUT,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.983960897,0.911232125,0.888297334,0.915451921,0.897058497,0.855937302,0.791400409,0.906103988,0.876420518,0.838531947,0.826388367,0.795931959,0.783538526,0.757180193,0.754649576,0.70257692,0.733722912,0.761540652,0.748993468,0.753133438,0.885811629,0.873515488,0.766706008,0.870829952,0.999843177,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.400225621,5.000467786,1.94658459,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.464876793,3.688527303,3.756301732,3.549293313,3.849018636,5.241526025,4.930517407,3.795370251,4.922414038,4.99292396,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bahrain,BHR,1.75228724,2.077922078,4.958131335,5.892751915,5.698891307,6.902581566,8.535161949,4.790336018,4.179305696,4.588158182,5.837762481,5.253253881,5.603045758,5.644661664,5.284791544,5.703750648,5.878071992,5.369855167,5.111302188,5.18323179,5.273939764,5.068487413,5.333103953,5.503621544,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.214381095,3.102947728,2.956990234,2.800161369,3.61053525,3.277823748,3.591497227,3.844490573,4.14139763,4.418512028,4.644111349,4.670635314,4.320737742,4.041086253,4.029861016,4.057468651,3.519796822,3.423393345,3.520835738,2.894665406,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Bangladesh,BGD,1.523678975,1.569977813,1.268985181,0.934292961,0.857420859,0.915831691,1.060869685,1.270673712,1.17804196,1.054272784,1.112191676,1.168232539,1.246388097,1.290861801,1.223165026,1.214422802,1.36050315,1.429390515,1.529023664,1.566693141,1.539073594,1.571667926,1.567535198,1.584834391,1.357119181,1.288422776,1.048366463,1.002633098,0.998859774,0.97281009,0.989838837,0.997091964,0.938215292,1.028939548,1.184384017,1.217668949,1.180897234,1.113729429,1.136443272,1.208517107,1.225900499,1.127581253,1.153957491,1.244100823,1.244689509,1.1687306,0.990983394,0.919471499,0.941321121,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.622498648,2.790971461,3.621608255,1.699463769,1.26069256,1.768966551,1.495098702,1.366760738,1.346984151,1.438290747,1.400245801,1.2990639,1.358222314,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.229218722,1.270796652,1.042327636,1.138066024,1.523280919,1.372004441,1.537994289,1.396422976,1.403258599,1.365289266,1.648693135,2.023447844,2.073649108,..
