Data extracted on 08/05/2026 07:19:08 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,HICP - annual data (average index and rate of change) (1996-2025) [prc_hicp_aind__custom_21364206],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,06/02/2026 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Annual average index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification of individual consumption by purpose (COICOP),,All-items HICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",70.26,,71.48,,72.40,,73.26,,74.65,,76.29,,77.87,,79.40,,81.00,,82.75,,84.58,,86.55,,89.72,,90.60,,92.49,,95.36,,97.88,,99.35,,99.90,,100.00,,100.25,,101.96,,103.89,,105.42,,106.20,,109.28,,119.32,,126.91,,130.21,,133.42,
European Union - 27 countries (from 2020),:,,:,,:,,:,,73.13,,75.73,,77.81,,79.59,,81.55,,83.45,,85.38,,87.41,,90.64,,91.35,,93.03,,95.69,,98.19,,99.49,,99.89,,100.00,,100.18,,101.74,,103.57,,105.04,,105.76,,108.82,,118.82,,126.38,,129.67,,132.86,
European Union - 28 countries (2013-2020),:,,:,,:,,:,,73.07,,75.42,,77.32,,78.98,,80.78,,82.63,,84.54,,86.54,,89.72,,90.61,,92.49,,95.35,,97.87,,99.35,,99.90,,100.00,,100.25,,101.96,,103.89,,105.42,,:,,:,,:,,:,,:,,:,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",71.74,,72.87,,73.67,,74.48,,76.05,,77.83,,79.58,,81.24,,82.98,,84.79,,86.64,,88.49,,91.38,,91.65,,93.14,,95.66,,98.05,,99.38,,99.81,,100.00,,100.23,,101.78,,103.56,,104.80,,105.06,,107.78,,116.82,,123.15,,126.07,,128.75,
Euro area – 20 countries (2023-2025),:,,:,,:,,:,,75.77,,77.61,,79.37,,81.05,,82.82,,84.64,,86.51,,88.39,,91.35,,91.66,,93.13,,95.66,,98.06,,99.39,,99.81,,100.00,,100.23,,101.77,,103.55,,104.79,,105.05,,107.77,,116.83,,123.17,,126.08,,128.76,
Euro area - 19 countries  (2015-2022),71.23,,72.44,,73.33,,74.19,,75.81,,77.64,,79.40,,81.08,,82.85,,84.67,,86.53,,88.41,,91.37,,91.65,,93.13,,95.67,,98.06,,99.38,,99.81,,100.00,,100.23,,101.78,,103.56,,104.80,,105.06,,107.78,,116.82,,123.14,,126.03,,128.69,
Belgium,70.48,,71.54,,72.18,,73.00,,74.96,,76.78,,77.97,,79.16,,80.63,,82.67,,84.60,,86.13,,90.00,,89.99,,92.09,,95.18,,97.68,,98.90,,99.38,,100.00,,101.77,,104.03,,106.44,,107.77,,108.23,,111.71,,123.26,,126.07,,131.52,,135.49,
Bulgaria,:,,40.27,,47.79,,49.02,,54.08,,58.06,,61.44,,62.88,,66.75,,70.78,,76.02,,81.78,,91.55,,93.81,,96.66,,99.94,,102.33,,102.72,,101.08,,100.00,,98.68,,99.85,,102.48,,104.99,,106.27,,109.30,,123.52,,134.15,,137.63,,142.50,
Czechia,58.8,,63.6,,69.7,,71.0,,73.8,,77.1,,78.2,,78.2,,80.2,,81.5,,83.2,,85.6,,91.0,,91.5,,92.6,,94.6,,98.0,,99.3,,99.8,,100.0,,100.7,,103.1,,105.1,,107.8,,111.4,,115.1,,132.1,,147.9,,151.9,,155.4,
Denmark,71.6,,73.0,,73.9,,75.4,,77.5,,79.3,,81.2,,82.7,,83.5,,85.0,,86.5,,88.0,,91.2,,92.1,,94.1,,96.6,,98.9,,99.4,,99.8,,100.0,,100.0,,101.1,,101.8,,102.5,,102.9,,104.9,,113.8,,117.6,,119.1,,121.3,
Germany,75.7,,76.9,,77.3,,77.8,,78.9,,80.4,,81.5,,82.4,,83.8,,85.5,,87.0,,89.0,,91.4,,91.6,,92.7,,95.0,,97.0,,98.6,,99.3,,100.0,,100.4,,102.1,,104.0,,105.5,,105.8,,109.2,,118.7,,125.9,,129.0,,131.9,
Estonia,45.70,,49.95,,54.34,,56.02,,58.22,,61.50,,63.71,,64.59,,66.55,,69.29,,72.37,,77.25,,85.45,,85.62,,87.96,,92.43,,96.33,,99.46,,99.93,,100.00,,100.80,,104.48,,108.05,,110.50,,109.80,,114.72,,137.03,,149.52,,155.10,,162.57,
Ireland,69.1,,70.0,,71.5,,73.3,,77.1,,80.2,,84.0,,87.3,,89.3,,91.3,,93.7,,96.4,,99.5,,97.8,,96.2,,97.4,,99.2,,99.7,,100.0,,100.0,,99.8,,100.1,,100.8,,101.7,,101.2,,103.6,,112.0,,117.8,,119.4,,121.9,
Greece,61.31,,64.64,,67.56,,69.01,,71.01,,73.59,,76.48,,79.12,,81.51,,84.35,,87.14,,89.75,,93.55,,94.81,,99.27,,102.36,,103.42,,102.54,,101.11,,100.00,,100.02,,101.15,,101.94,,102.46,,101.17,,101.75,,111.21,,115.84,,119.31,,122.75,
Spain,64.93,,66.15,,67.31,,68.82,,71.22,,73.23,,75.86,,78.21,,80.60,,83.33,,86.29,,88.75,,92.41,,92.19,,94.08,,96.94,,99.31,,100.83,,100.63,,100.00,,99.66,,101.69,,103.46,,104.26,,103.91,,107.04,,115.95,,119.89,,123.33,,126.65,
France,74.93,,75.88,,76.40,,76.83,,78.23,,79.62,,81.16,,82.93,,84.86,,86.47,,88.10,,89.52,,92.34,,92.44,,94.05,,96.20,,98.33,,99.31,,99.91,,100.00,,100.31,,101.47,,103.60,,104.95,,105.50,,107.68,,114.04,,120.50,,123.29,,124.43,
Croatia,:,,:,,63.97,,66.37,,69.32,,72.28,,74.11,,75.88,,77.51,,79.83,,82.46,,84.65,,89.56,,91.56,,92.55,,94.59,,97.76,,100.04,,100.26,,100.00,,99.37,,100.67,,102.23,,103.04,,103.06,,105.82,,117.11,,126.94,,132.04,,137.82,
Italy,68.5,,69.8,,71.2,,72.3,,74.2,,75.9,,77.9,,80.1,,81.9,,83.7,,85.6,,87.3,,90.4,,91.1,,92.6,,95.3,,98.4,,99.7,,99.9,,100.0,,99.9,,101.3,,102.5,,103.2,,103.0,,105.0,,114.2,,120.9,,122.3,,124.3,
Cyprus,66.81,,69.02,,70.63,,71.44,,74.91,,76.40,,78.53,,81.65,,83.20,,84.88,,86.79,,88.67,,92.55,,92.71,,95.09,,98.40,,101.45,,101.84,,101.57,,100.00,,98.78,,99.45,,100.23,,100.78,,99.67,,101.92,,110.17,,114.50,,117.09,,118.06,
Latvia,46.72,,50.49,,52.66,,53.77,,55.18,,56.58,,57.69,,59.39,,63.06,,67.40,,71.83,,79.08,,91.14,,94.11,,92.96,,96.88,,99.09,,99.11,,99.79,,100.00,,100.10,,103.00,,105.63,,108.53,,108.62,,112.14,,131.47,,143.38,,145.32,,150.85,
Lithuania,57.61,,63.56,,66.97,,67.94,,68.68,,69.74,,69.98,,69.22,,70.02,,71.89,,74.59,,78.93,,87.69,,91.34,,92.43,,96.24,,99.28,,100.44,,100.68,,100.00,,100.68,,104.42,,107.07,,109.47,,110.63,,115.75,,137.57,,149.52,,150.79,,155.99,
Luxembourg,65.63,,66.54,,67.18,,67.87,,70.43,,72.12,,73.60,,75.47,,77.91,,80.85,,83.24,,85.45,,88.94,,88.95,,91.44,,94.85,,97.59,,99.25,,99.94,,100.00,,100.04,,102.15,,104.21,,105.93,,105.93,,109.61,,118.55,,122.02,,124.77,,127.93,
Hungary,31.76,d,37.62,d,42.97,d,47.25,d,51.95,d,56.67,,59.64,,62.43,,66.66,,68.98,,71.76,,77.45,,82.12,,85.43,,89.47,,92.98,,98.24,,99.92,,99.94,,100.00,,100.45,,102.84,,105.84,,109.46,,113.15,,119.04,,137.22,,160.59,,166.56,,173.96,
Malta,63.69,,66.19,,68.63,,70.21,,72.34,,74.16,,76.10,,77.56,,79.68,,81.69,,83.79,,84.38,,88.33,,89.95,,91.79,,94.10,,97.13,,98.08,,98.84,,100.00,,100.90,,102.18,,103.95,,105.54,,106.37,,107.12,,113.69,,120.01,,122.94,,125.90,
Netherlands,68.83,,70.11,,71.36,,72.81,,74.51,,78.32,,81.35,,83.16,,84.32,,85.57,,86.99,,88.36,,90.32,,91.20,,92.05,,94.32,,96.99,,99.47,,99.79,,100.00,,100.11,,101.40,,103.02,,105.78,,106.96,,109.98,,122.78,,127.81,,131.92,,135.86,
Austria,71.77,,72.61,,73.20,,73.58,,75.02,,76.74,,78.04,,79.05,,80.60,,82.30,,83.69,,85.53,,88.29,,88.64,,90.14,,93.35,,95.75,,97.77,,99.20,,100.00,,100.97,,103.22,,105.41,,106.98,,108.47,,111.46,,121.07,,130.40,,134.21,,139.01,
Poland,46.2,d,53.1,d,59.4,d,63.6,,70.0,,73.8,,75.2,,75.7,,78.5,,80.2,,81.2,,83.3,,86.8,,90.3,,92.7,,96.3,,99.8,,100.6,,100.7,,100.0,,99.8,,101.4,,102.6,,104.8,,108.6,,114.3,,129.4,,143.5,,148.7,,153.7,
Portugal,66.90,,68.16,,69.67,,71.18,,73.18,,76.41,,79.24,,81.80,,83.85,,85.64,,88.25,,90.39,,92.78,,91.95,,93.22,,96.54,,99.22,,99.65,,99.50,,100.00,,100.64,,102.20,,103.40,,103.71,,103.58,,104.55,,113.03,,118.98,,122.15,,124.83,
Romania,3.25,,8.29,,13.19,,19.23,,28.01,,37.66,,46.14,,53.18,,59.51,,64.90,,69.19,,72.58,,78.33,,82.70,,87.73,,92.84,,95.98,,99.04,,100.41,,100.00,,98.93,,100.00,,104.08,,108.15,,110.67,,115.21,,129.06,,141.64,,149.91,,160.06,
Slovenia,45.86,,49.68,,53.61,,56.89,,61.98,,67.33,,72.37,,76.46,,79.26,,81.19,,83.25,,86.42,,91.19,,91.97,,93.86,,95.81,,98.50,,100.40,,100.77,,100.00,,99.85,,101.40,,103.36,,105.11,,104.82,,106.97,,116.94,,125.38,,127.87,,131.04,
Slovakia,43.89,,46.53,,49.64,,54.82,,61.50,,65.90,,68.21,,73.96,,79.49,,81.71,,85.19,,86.80,,90.22,,91.05,,91.69,,95.43,,99.00,,100.45,,100.35,,100.00,,99.52,,100.90,,103.46,,106.33,,108.47,,111.53,,125.05,,138.79,,143.17,,149.23,
Finland,71.77,,72.64,,73.62,,74.59,,76.79,,78.84,,80.42,,81.46,,81.58,,82.21,,83.26,,84.57,,87.89,,89.32,,90.83,,93.85,,96.81,,98.96,,100.16,,100.00,,100.39,,101.23,,102.42,,103.58,,103.98,,106.12,,113.74,,118.67,,119.83,,122.01,
Sweden,76.16,,77.54,,78.32,,78.76,,79.78,,81.92,,83.51,,85.44,,86.32,,87.03,,88.34,,89.82,,92.83,,94.63,,96.43,,97.75,,98.66,,99.10,,99.30,,100.00,,101.14,,103.02,,105.12,,106.93,,107.63,,110.49,,119.39,,126.44,,128.98,,132.35,
"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",70.24,,71.45,,72.38,,73.24,,74.64,,76.29,,77.87,,79.40,,80.98,,82.73,,84.56,,86.52,,89.69,,90.60,,92.49,,95.34,,97.84,,99.31,,99.88,,100.00,,100.29,,102.01,,103.95,,105.49,,106.28,,109.37,,119.39,,126.97,,130.28,,133.49,
Iceland,43.26,,44.05,,44.64,,45.59,,47.60,,50.74,,53.44,,54.18,,55.43,,56.19,,58.80,,60.94,,68.71,,79.89,,85.85,,89.46,,94.84,,98.76,,99.74,,100.00,,100.79,,99.13,,99.86,,101.85,,103.06,,106.84,,112.96,,121.96,,127.47,,132.22,
Norway,70.0,,71.8,,73.2,,74.8,,77.1,,79.1,,79.7,,81.3,,81.8,,83.1,,85.1,,85.7,,88.7,,90.7,,92.8,,94.0,,94.3,,96.2,,98.0,,100.0,,103.9,,105.8,,109.0,,111.5,,112.8,,117.2,,124.5,,131.6,,135.4,,139.2,
Switzerland,:,,:,,:,,:,,:,,:,,:,,:,,:,,97.43,,98.40,,99.17,,101.51,,100.77,,101.39,,101.49,,100.76,,100.83,,100.84,,100.00,,99.47,,100.11,,101.03,,101.41,,100.56,,101.04,,103.74,,106.10,,107.25,,107.36,
United Kingdom,68.8,,70.1,,71.2,,72.1,,72.7,,73.6,,74.5,,75.5,,76.5,,78.1,,79.9,,81.8,,84.7,,86.6,,89.4,,93.4,,96.1,,98.5,,100.0,,100.0,,100.7,,103.4,,105.9,,107.8,,:,,:,,:,,:,,:,,:,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,100.00,d,99.93,d,102.68,d,105.39,d,105.94,d,105.39,d,108.03,d,120.92,d,131.50,d,136.24,d,141.81,d
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,80.44,d,83.39,d,85.20,d,91.67,d,91.61,d,92.57,d,95.52,d,97.26,d,99.91,d,99.87,d,100.00,d,100.24,d,102.35,d,104.66,d,105.42,d,106.73,d,110.36,d,125.83,d,137.15,d,142.96,d,149.14,d
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,101.51,d,104.76,d,106.59,d,108.39,d,110.74,d,113.26,d,120.69,d,127.13,d,130.38,d,133.42,d
