Trade Balance|Annual Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Row Count,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2020,2021,2022,2023,2024,2025,2026
Total Exports FAS - General Imports Customs Val.,Austria,-262451115.00,-442444864.00,-219014523.00,-48942873.00,-85451968.00,-376472035.00,53250583.00,-190312044.00,-291545241.00,-51920747.00,-322551495.00,-678592506.00,-1364877687.00,-1393818661.00,-2696607722.00,-3838811622.00,-3507379317.00,-5313062802.00,-7497819889.00,-5821384751.00,-3838732168.00,-4406761194.00,-6589431013.00,-6029496316.00,-6260485284.00,-7003233261.00,-7288202463.00,-7069918515.00,-8187146262.00,-11200992430.00,-13042320835.00,-13621436429.00,-13108697863.00,-12165659239.00,0.00
Total Exports FAS - General Imports Customs Val.,Belgium,4162818880.00,5945707413.00,6623486097.00,5299568792.00,3699140116.00,4602054061.00,6409051760.00,5740868221.00,5521118878.00,5496201909.00,3176599592.00,4029287702.00,3394547718.00,3507690569.00,5077255264.00,4428234914.00,5588826676.00,6940299721.00,10009176919.00,11666088283.00,7849131003.00,9906101967.00,12559160455.00,12070475458.00,12829866272.00,13774261630.00,14686969164.00,15087508802.00,6549677038.00,12240385056.00,9203248613.00,15664878636.00,6413568083.00,9147513813.00,0.00
Total Exports FAS - General Imports Customs Val.,Bulgaria,121972570.00,36975561.00,85743314.00,6418471.00,-43410758.00,-101954851.00,-51277614.00,11184497.00,-67469409.00,-103964805.00,-97089271.00,-122526682.00,-226075261.00,-238848256.00,-285564209.00,-335539542.00,-185832065.00,-165700258.00,-119956123.00,118632578.00,-3357429.00,-88778758.00,-157147080.00,-260884947.00,-206406092.00,-249330242.00,-308187198.00,-334648500.00,-472036231.00,-813071065.00,-978333667.00,-1057673427.00,-1006723221.00,-347422858.00,0.00
Total Exports FAS - General Imports Customs Val.,Croatia,Not Valid,Not Valid,Not Valid,47970732.00,-3293172.00,32008267.00,46631016.00,34569276.00,55954807.00,24250396.00,-2489137.00,-50956403.00,-29563725.00,-67035260.00,16006924.00,-160658034.00,-205336480.00,-206159359.00,-85515775.00,196682846.00,-48241426.00,-24078997.00,73424167.00,-133997503.00,-116245590.00,-123942199.00,-244784841.00,-219305163.00,-284779195.00,-86893301.00,605182447.00,100555527.00,-2974353.00,-132807894.00,0.00
Total Exports FAS - General Imports Customs Val.,Cyprus,93527090.00,111092361.00,105966139.00,154775089.00,122192701.00,190888227.00,244800634.00,239463152.00,227402611.00,130833282.00,158286076.00,168438625.00,232869526.00,167698938.00,302092078.00,70498053.00,52984927.00,188761613.00,152286931.00,203579894.00,107721404.00,123267342.00,76922351.00,137509071.00,99706857.00,87397366.00,69848515.00,129167271.00,43582494.00,184499956.00,47606898.00,135766160.00,126106205.00,124149142.00,0.00
Total Exports FAS - General Imports Customs Val.,Czechia (Czech Republic),Not Valid,Not Valid,Not Valid,Not Valid,-10777632.00,-18463075.00,-943649.00,-71372612.00,-18231329.00,-103521851.00,-144502601.00,-337090590.00,-413386448.00,-577737286.00,-722033597.00,-938896088.00,-1158378397.00,-1228700425.00,-1168409079.00,-1189865956.00,-951289938.00,-1039223265.00,-1659442345.00,-2098347690.00,-1979563678.00,-2102556727.00,-2512096708.00,-2434709221.00,-2560146331.00,-2692193852.00,-3716633387.00,-2871124899.00,-3793328262.00,-3727531303.00,0.00
Total Exports FAS - General Imports Customs Val.,Denmark,-485055757.00,-366949864.00,-94033102.00,-191497925.00,-571727062.00,-906854067.00,-428003006.00,-407683093.00,-381133739.00,-507388050.00,-1106020582.00,-1461624945.00,-1789549941.00,-1739947996.00,-2169979588.00,-1731190365.00,-3229251439.00,-3271878516.00,-3139004665.00,-3682494421.00,-3503318319.00,-3879458097.00,-4512205641.00,-4552663089.00,-4263293102.00,-5173799573.00,-5557278395.00,-5704423199.00,-8684442731.00,-8569596623.00,-8370434180.00,-6392528082.00,-4246144506.00,-7590743103.00,0.00
Total Exports FAS - General Imports Customs Val.,Estonia,Not Valid,Not Valid,Not Valid,46167407.00,34122857.00,4082517.00,76634989.00,23101637.00,-29203851.00,-38124811.00,-75187817.00,-483571809.00,-183234822.00,-82036934.00,-61032661.00,-260776213.00,-365903192.00,-304820193.00,-53726313.00,-166544613.00,20980513.00,-509630515.00,-652651879.00,-270554944.00,-129392745.00,-256407938.00,-214948274.00,-744561039.00,-727096342.00,-1464231800.00,-967373751.00,-404996442.00,-691317353.00,-623815300.00,0.00
Total Exports FAS - General Imports Customs Val.,Finland,-396978093.00,-141111156.00,-138240907.00,-398851169.00,-761634815.00,-733637909.00,-1021053919.00,92934728.00,-656528573.00,-679708410.00,-1241547761.00,-1679084970.00,-1840535051.00,-1907481184.00,-1884223350.00,-1825074466.00,-2088028066.00,-2323307012.00,-2137859341.00,-2144622657.00,-2318706542.00,-1704135010.00,-1276914929.00,-2543452332.00,-2304138500.00,-2884948906.00,-2950588889.00,-3075069088.00,-3330839399.00,-5036839124.00,-6057637574.00,-4417181649.00,-5577099243.00,-5223078625.00,0.00
